SchoolCode,Phase,School,AddressLine1,AddressLine2,AddressLine3,PostCode,X_REF,Y_REF,Telephone,Email,Website,Headteacher,NumberOfPupils,NumberOfPlacesAvailable,Area,AgeRangeMinimum,AgeRangeMaximum,Nearest,"Non Nearest","Priority 1A","Priority 1B","Priority 2","Priority 3","Priority 4","Priority 5",Allocated,"EHCP / Statement",LAC,"Nearest Placed","Non Nearest Placed",Placed,SEN,Siblings,Notes,"Better Access","Breakfast Club","Childrens Centre","Cycle Storage","Designated School Bus","Free Foundation Education","Fully integrated early education","Out of School Care","Parents Waiting Shelter","Reduction in Car Travel","Road Safety Training","Safe Route to School","School Crossing Patrol","School Travel Plan","SIF Required","Special Needs","Walking Initiative","Yellow Bus"
5400,Secondary,"Abbey Grange Church of England Academy","Butcher Hill",,Leeds,"LS16 5EA",425647,437660,"0113 275 7877",info@abbeygrangeacademy.co.uk,http://www.abbeygrangeschool.co.uk,"Ms C Kitson",1257,240,NW,11,18,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,1,1,,1,1
3030,Primary,"Aberford Church of England Primary School","School Lane",Aberford,Leeds,"LS25 3BU",443232,437054,"0113 281 3302",office@aberfordceprimary.org.uk,http://www.aberford.leeds.sch.uk,"Ms P Boulding",99,14,E,4,11,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,1,1,,,,
2416,Primary,"Adel Primary School","Tile Lane",Adel,Leeds,"LS16 8DY",428005,439325,"0113 230 1116",r.spinks@adelprimary.org.uk,http://www.adelprimary.org.uk,"Mrs S Parkinson",209,30,NW,3,11,0.582,0.63,1,,14,,12,3,,,,,,,,,,1,1,,1,,1,1,1,1,1,1,,1,1,,,1,1
3902,Primary,"Adel St John the Baptist Church of England Primary School (Voluntary Aided)","Long Causeway",Adel,Leeds,"LS16 8EX",427666,439696,"0113 214 1040",info@adel-st-john.leeds.sch.uk,http://www.adel-st-john.leeds.sch.uk,"Ms J Turner",209,30,NW,4,11,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,1,1,1,,,1,1,,1,
3909,Primary,"All Saints Church of England Primary School (Voluntary Aided)","Cross Aysgarth Mount",,Leeds,"LS9 9AD",431762,433529,"0113 214 3056",david.pattison@allsaints-pri.leeds.sch.uk,http://www.allsaints-pri.leeds.sch.uk,"Mr D Pattison",210,30,E,3,11,,,,,,,,,,,,,,,,,,,1,1,1,,1,,1,,1,1,1,,1,1,,,
2507,Primary,"Allerton Bywater Primary School (Foundation)","Leeds Road","Allerton Bywater",Castleford,"WF10 2DR",441632,428057,"0113 336 8240",office@allertonbywater.leeds.sch.uk,http://www.allertonbywater.leeds.sch.uk,"Mr R Cairns",230,60,E,3,11,,,,,,,,,,,,,,,,,,1,1,,,,1,1,1,1,,1,,1,1,,,1,
3931,Primary,"Allerton Church of England Primary School","Lingfield Approach",,Leeds,"LS17 7HL",429837,439357.2,"0113 293 0699",denise.glazer@allertonceprimary.com,http://www.allertonceprimary.com,"Mrs H Stott",343,60,NE,3,11,,,,,,,,,,,,,,,,,,1,,1,1,,1,1,1,1,1,1,1,,1,,,1,
4040,Secondary,"Allerton Grange School","Talbot Avenue",,Leeds,"LS17 6SF",431591,438408,"0113 336 8585",agadmin@allertongrange.com,http://www.allertongrange.org,"Mr R Whittaker",1450,240,NE,11,18,,,,,,,,,240/240,,,,,6,,92,,,,,1,,,,,,1,,,,1,,,1,1
4032,Secondary,"Allerton High Business and Enterprise Specialist School","King Lane",,Leeds,"LS17 7AG",429500,439471,"0113 203 4770",info@allertonhigh.org.uk,http://www.allertonhigh.org.uk,"Mrs E Silson",1154,198,NE,11,18,1.072,1.073,,,,,,,,,,69,36,,7,86,,,,,1,,,,,,1,,,,1,,,1,
2436,Primary,"Alwoodley Primary School","Cranmer Rise",,Leeds,"LS17 5HX",429305,439464,"0113 268 6104",jane.langley@alwoodley.net,http://www.alwoodleyprimary.net/,"Miss J Langley",421,60,NE,3,11,0.382,,,,2,37,21,,,,,,,,,,"Not all nearest allocated",1,,1,1,,1,,1,1,,1,1,,1,,,1,
