ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,School,Rec_1415Granted,Rec1415NotGranted,YR1_1415Granted,YR1_1415NotGranted,YR2_1415Granted,YR2_1415NotGranted,YR3_1415Granted,YR3_1415NotGranted,YR4_1415Granted,YR4_1415NotGranted,YR5_1415Granted,YR5_1415NotGranted,YR6_1415Granted,YR6_1415NotGranted,YR7_1415Granted,YR7_1415NotGranted,YR8_1415Granted,"YR8_1415Not Granted",YR9_1415Granted,YR9_1415NotGranted,YR10_1415Granted,YR10_1415NotGranted,YR11_1415Granted,YR11_1415NotGranted
2014/12/17,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/705,"School admission appeals","Adel Primary School",,6,,,,1,,,,,,,,,,,,,,,,,,
2014/12/17,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/705,"School admission appeals","Alwoodley Primary School",3,25,,2,,3,,,,2,,1,,,,,,,,,,,,
2014/12/17,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/705,"School admission appeals","Ashfield Primary School",,3,,,,,,,,,,,,,,,,,,,,,,
2014/12/17,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/705,"School admission appeals","Austhorpe Primary School",,5,,,,1,,,,,,,,,,,,,,,,,,
2014/12/17,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/705,"School admission appeals","Bankside Primary School",,8,,1,,1,,,,,,,,,,,,,,,,,,
2014/12/17,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/705,"School admission appeals","Beechwood Primary School",1,6,,,,,,,,,1,,,,,,,,,,,,,
2014/12/17,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/705,"School admission appeals","Beecroft Primary School",,12,1,,,2,,,,2,,,,,,,,,,,,,,
2014/12/17,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/705,"School admission appeals","Beeston Primary School",1,3,,,,,,,,,,,,,,,,,,,,,,
2014/12/17,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/705,"School admission appeals","Birchfield Primary School",,1,,1,,,,,,,,,,,,,,,,,,,,
2014/12/17,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/705,"School admission appeals","Blenheim Primary School",,4,,1,,,,,,,,,,,,,,,,,,,,
